question,answer,Audio,Badge
What is Harry Potter’s middle name?,James,,
What are the names of Harry’s parents?,James and Lily Potter,,
What is the Dursleys’ home address?,4 Privet Drive,,
What platform does the Hogwarts Express leave from?,Platform 9¾,,
Which Hogwarts house is Harry sorted into?,Gryffindor,,
What is Voldemort’s real name?,Tom Marvolo Riddle,,
What school does Harry attend?,Hogwarts School of Witchcraft and Wizardry,,
Who is the headmaster when Harry first arrives at Hogwarts?,Albus Dumbledore,,
What is Hagrid’s job title at Hogwarts?,Keeper of Keys and Grounds,,
What is the name of Hagrid’s big boarhound?,Fang,,
What is the name of Hagrid’s three‑headed dog?,Fluffy,,
What is the wizarding bank called?,Gringotts,,
Who runs Gringotts Bank?,Goblins,,
What pub leads into Diagon Alley?,The Leaky Cauldron,,
Which shop sells wands in Diagon Alley?,Ollivanders,,
What are Hermione’s parents’ professions?,Dentists,,
What is Hermione’s pet cat called?,Crookshanks,,
What is Ron Weasley’s pet rat called?,Scabbers,,
Scabbers is secretly which Animagus?,Peter Pettigrew,,
Who created the Marauder’s Map?,"Moony, Wormtail, Padfoot and Prongs",,
What animal is Harry’s Patronus?,A stag,,
What animal is Severus Snape’s Patronus?,A doe,,
What animal is Hermione’s Patronus?,An otter,,
What animal is Ron’s Patronus?,A Jack Russell terrier,,
What animal is Luna Lovegood’s Patronus?,A hare,,
What bird is Dumbledore’s Patronus?,A phoenix,,
Which object sorts first‑years into houses?,The Sorting Hat,,
What are Gryffindor’s house colours?,Red and gold,,
What are Hufflepuff’s house colours?,Yellow and black,,
What are Ravenclaw’s house colours in the books?,Blue and bronze,,
What are Slytherin’s house colours?,Green and silver,,
Who is the ghost of Gryffindor house?,Nearly Headless Nick,,
Who is the ghost of Slytherin house?,The Bloody Baron,,
Who is the ghost of Hufflepuff house?,The Fat Friar,,
Who is the ghost of Ravenclaw house?,The Grey Lady (Helena Ravenclaw),,
Where is the Slytherin common room located?,In the dungeons by the Black Lake,,
What small golden ball ends a Quidditch match when caught?,The Golden Snitch,,
How many points is catching the Snitch worth?,150,,
How many points is a Quaffle goal worth?,10,,
Name one position played in Quidditch.,Seeker / Chaser / Beater / Keeper,,
What is Harry’s first broomstick at Hogwarts?,Nimbus 2000,,
Who gifts Harry the Firebolt?,Sirius Black,,
Who is the Potions Master in Harry’s first year?,Severus Snape,,
Who teaches Defence Against the Dark Arts in Harry’s third year?,Remus Lupin,,
Who teaches Defence Against the Dark Arts in Harry’s second year?,Gilderoy Lockhart,,
Who is the “Defence Against the Dark Arts” teacher in Harry’s fourth year?,Mad‑Eye Moody (Barty Crouch Jr. in disguise),,
Who teaches Defence Against the Dark Arts in Harry’s fifth year?,Dolores Umbridge,,
Which spell disarms an opponent?,Expelliarmus,,
Which spell levitates objects?,Wingardium Leviosa,,
Which spell lights the tip of the wand?,Lumos,,
Which spell unlocks doors?,Alohomora,,
Which charm repels Dementors?,Expecto Patronum,,
Which spell stuns an opponent?,Stupefy,,
Which spell summons objects?,Accio,,
Which spell forms a protective shield?,Protego,,
Which spell is used to fight a boggart?,Riddikulus,,
How many Unforgivable Curses are there?,Three,,
Name one of the Unforgivable Curses.,Avada Kedavra / Crucio / Imperio,,
What is the name of the stone sought in Harry’s first year?,The Philosopher’s Stone,,
What mirror shows the deepest desire of a person’s heart?,The Mirror of Erised,,
What are the three Deathly Hallows?,"The Elder Wand, Resurrection Stone and Invisibility Cloak",,
Which Deathly Hallow does Harry inherit?,The Invisibility Cloak,,
What are objects that hold pieces of a dark wizard’s soul called?,Horcruxes,,
Who teaches Transfiguration at Hogwarts?,Professor McGonagall,,
Who teaches Herbology?,Professor Sprout,,
Who teaches Charms?,Professor Flitwick,,
Who is head of Gryffindor house during Harry’s time?,Professor McGonagall,,
Who is head of Slytherin house during Harry’s early years?,Professor Snape,,
Who is head of Hufflepuff house?,Professor Sprout,,
Who is head of Ravenclaw house?,Professor Flitwick,,
Who teaches Care of Magical Creatures from third year?,Rubeus Hagrid,,
What forest borders Hogwarts grounds?,The Forbidden Forest,,
Which three schools compete in the Triwizard Tournament?,"Hogwarts, Beauxbatons and Durmstrang",,
Who is the official Hogwarts champion chosen by the Goblet of Fire?,Cedric Diggory,,
What festive event is held during the Triwizard year?,The Yule Ball,,
What is the name of Voldemort’s snake?,Nagini,,
What is the wizard prison called?,Azkaban,,
What creatures guard Azkaban?,Dementors,,
What sport is played on broomsticks?,Quidditch,,
What kind of creature is Dobby?,A house‑elf,,
What does S.P.E.W. stand for?,Society for the Promotion of Elfish Welfare,,
Where does Arthur Weasley work?,The Ministry of Magic,,
What is the wizarding newspaper called?,The Daily Prophet,,
What shop do Fred and George open?,Weasleys’ Wizard Wheezes,,
What bookshop is in Diagon Alley?,Flourish and Blotts,,
Who is Luna Lovegood’s father?,Xenophilius Lovegood,,
What is the name of Dumbledore’s phoenix?,Fawkes,,
What is the name of the hippogriff Harry rides?,Buckbeak,,
Which professor is a werewolf?,Remus Lupin,,
Which object reveals people’s locations within Hogwarts?,The Marauder’s Map,,
What magical device allows time travel in book three?,A Time‑Turner,,
What is Harry’s wand wood and core?,Holly and phoenix feather,,
What creature lives in the Chamber of Secrets?,A Basilisk,,
Which student can speak Parseltongue besides Voldemort?,Harry Potter,,
Who is the Half‑Blood Prince?,Severus Snape,,
What Horcrux is hidden in Bellatrix’s vault?,Helga Hufflepuff’s Cup,,
What relic belongs to Ravenclaw and is a Horcrux?,Rowena Ravenclaw’s Diadem,,
What relic of Gryffindor destroys Horcruxes?,The Sword of Gryffindor,,
What locket becomes a Horcrux?,Salazar Slytherin’s Locket,,
What animal is Hufflepuff’s house mascot?,A badger,,
